name,url
A# .NET,http://en.wikipedia.org/wiki/A_Sharp_(.NET)
A# (Axiom),http://en.wikipedia.org/wiki/A_Sharp_(Axiom)
A-0 System,http://en.wikipedia.org/wiki/A-0_System
A+,http://en.wikipedia.org/wiki/A%2B_(programming_language)
A++,http://en.wikipedia.org/wiki/A%2B%2B
ABAP,http://en.wikipedia.org/wiki/ABAP
ABC,http://en.wikipedia.org/wiki/ABC_(programming_language)
ABC ALGOL,http://en.wikipedia.org/wiki/ABC_ALGOL
ABLE,http://en.wikipedia.org/wiki/ABLE_(programming_language)
ABSET,http://en.wikipedia.org/wiki/ABSET
ABSYS,http://en.wikipedia.org/wiki/ABSYS
ACC,http://en.wikipedia.org/wiki/ACC_(programming_language)
Accent,http://en.wikipedia.org/wiki/Accent_(programming_language)
Ace DASL,http://en.wikipedia.org/wiki/Distributed_Application_Specification_Language
ACL2,http://en.wikipedia.org/wiki/ACL2
ACT-III,http://en.wikipedia.org/wiki/LGP-30#ACT-III_programming_language
Action!,http://en.wikipedia.org/wiki/Action!_(programming_language)
ActionScript,http://en.wikipedia.org/wiki/ActionScript
Ada,http://en.wikipedia.org/wiki/Ada_(programming_language)
Adenine,http://en.wikipedia.org/wiki/Adenine_(programming_language)
Agda,http://en.wikipedia.org/wiki/Agda_(theorem_prover)
Agilent VEE,http://en.wikipedia.org/wiki/Agilent_VEE
Agora,http://en.wikipedia.org/wiki/Agora_(programming_language)
AIMMS,http://en.wikipedia.org/wiki/AIMMS
Alef,http://en.wikipedia.org/wiki/Alef_(programming_language)
ALF,http://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language
ALGOL 58,http://en.wikipedia.org/wiki/ALGOL_58
ALGOL 60,http://en.wikipedia.org/wiki/ALGOL_60
ALGOL 68,http://en.wikipedia.org/wiki/ALGOL_68
ALGOL W,http://en.wikipedia.org/wiki/ALGOL_W
Alice,http://en.wikipedia.org/wiki/Alice_(programming_language)
Alma-0,http://en.wikipedia.org/wiki/Alma-0
AmbientTalk,http://en.wikipedia.org/wiki/AmbientTalk
Amiga E,http://en.wikipedia.org/wiki/Amiga_E
AMOS,http://en.wikipedia.org/wiki/AMOS_(programming_language)
AMPL,http://en.wikipedia.org/wiki/AMPL
APL,http://en.wikipedia.org/wiki/APL_(programming_language)
App Inventor for Android's visual block language,http://en.wikipedia.org/wiki/App_Inventor_for_Android_(programming_language)
AppleScript,http://en.wikipedia.org/wiki/AppleScript
Arc,http://en.wikipedia.org/wiki/Arc_(programming_language)
ARexx,http://en.wikipedia.org/wiki/ARexx
Argus,http://en.wikipedia.org/wiki/Argus_(programming_language)
AspectJ,http://en.wikipedia.org/wiki/AspectJ
Assembly language,http://en.wikipedia.org/wiki/Assembly_language
ATS,http://en.wikipedia.org/wiki/ATS_(programming_language)
Ateji PX,http://en.wikipedia.org/wiki/Ateji_PX
AutoHotkey,http://en.wikipedia.org/wiki/AutoHotkey
Autocoder,http://en.wikipedia.org/wiki/Autocoder
AutoIt,http://en.wikipedia.org/wiki/AutoIt
AutoLISP / Visual LISP,http://en.wikipedia.org/wiki/AutoLISP
Averest,http://en.wikipedia.org/wiki/Averest
AWK,http://en.wikipedia.org/wiki/AWK
Axum,http://en.wikipedia.org/wiki/Axum_(programming_language)
B,http://en.wikipedia.org/wiki/B_(programming_language)
Babbage,http://en.wikipedia.org/wiki/Babbage_(programming_language)
Bash,http://en.wikipedia.org/wiki/Bash_(Unix_shell)
BASIC,http://en.wikipedia.org/wiki/BASIC
bc,http://en.wikipedia.org/wiki/Bc_(programming_language)
BCPL,http://en.wikipedia.org/wiki/BCPL
BeanShell,http://en.wikipedia.org/wiki/BeanShell
Batch (Windows/Dos),http://en.wikipedia.org/wiki/Batch_file
Bertrand,http://en.wikipedia.org/wiki/Bertrand_(programming_language)
BETA,http://en.wikipedia.org/wiki/BETA_(programming_language)
Bigwig,http://en.wikipedia.org/wiki/Bigwig_(programming_language)
Bistro,http://en.wikipedia.org/wiki/Bistro_(programming_language)
BitC,http://en.wikipedia.org/wiki/BitC
BLISS,http://en.wikipedia.org/wiki/BLISS_(programming_language)
Blue,http://en.wikipedia.org/wiki/Blue_(programming_language)
Bon,http://en.wikipedia.org/wiki/Bon_(programming_language)
Boo,http://en.wikipedia.org/wiki/Boo_(programming_language)
Boomerang,http://en.wikipedia.org/wiki/Boomerang_(programming_language)
Bourne shell,http://en.wikipedia.org/wiki/Bourne_shell
bash,http://en.wikipedia.org/wiki/Bash_(Unix_shell)
ksh,http://en.wikipedia.org/wiki/Korn_shell
BREW,http://en.wikipedia.org/wiki/Qualcomm_Brew
BPEL,http://en.wikipedia.org/wiki/Business_Process_Execution_Language
C,http://en.wikipedia.org/wiki/C_(programming_language)
C--,http://en.wikipedia.org/wiki/C--
C++,http://en.wikipedia.org/wiki/C%2B%2B
C#,http://en.wikipedia.org/wiki/C_Sharp_(programming_language)
C/AL,http://en.wikipedia.org/wiki/C/AL
Caché ObjectScript,http://en.wikipedia.org/wiki/Cach%C3%A9_ObjectScript
C Shell,http://en.wikipedia.org/wiki/C_Shell
Caml,http://en.wikipedia.org/wiki/Caml
Candle,http://en.wikipedia.org/wiki/Candle_(programming_language)
Cayenne,http://en.wikipedia.org/wiki/Cayenne_(programming_language)
CDuce,http://en.wikipedia.org/wiki/CDuce
Cecil,http://en.wikipedia.org/wiki/Cecil_(programming_language)
Cel,http://en.wikipedia.org/wiki/Cel_(programming_language)
Cesil,http://en.wikipedia.org/wiki/Cesil
Ceylon,http://en.wikipedia.org/wiki/Ceylon_(programming_language)
CFEngine,http://en.wikipedia.org/wiki/CFEngine
CFML,http://en.wikipedia.org/wiki/ColdFusion_Markup_Language
Cg,http://en.wikipedia.org/wiki/Cg_(programming_language)
Ch,http://en.wikipedia.org/wiki/Ch_(computer_programming)
Chapel,http://en.wikipedia.org/wiki/Chapel_(programming_language)
CHAIN,http://en.wikipedia.org/wiki/CHAIN_(programming_language)
Charity,http://en.wikipedia.org/wiki/Charity_(programming_language)
Charm,http://en.wikipedia.org/wiki/Charm_(language)
Chef,http://en.wikipedia.org/wiki/Chef_(programming_language)
CHILL,http://en.wikipedia.org/wiki/CHILL
CHIP-8,http://en.wikipedia.org/wiki/CHIP-8
chomski,http://en.wikipedia.org/wiki/Chomski
ChucK,http://en.wikipedia.org/wiki/ChucK
CICS,http://en.wikipedia.org/wiki/CICS
Cilk,http://en.wikipedia.org/wiki/Cilk
CL,http://en.wikipedia.org/wiki/AS/400_Control_Language
Claire,http://en.wikipedia.org/wiki/Claire_(programming_language)
Clarion,http://en.wikipedia.org/wiki/Clarion_(programming_language)
Clean,http://en.wikipedia.org/wiki/Clean_(programming_language)
Clipper,http://en.wikipedia.org/wiki/Clipper_(programming_language)
CLIST,http://en.wikipedia.org/wiki/CLIST
Clojure,http://en.wikipedia.org/wiki/Clojure
CLU,http://en.wikipedia.org/wiki/CLU_(programming_language)
CMS-2,http://en.wikipedia.org/wiki/CMS-2_(programming_language)
COBOL,http://en.wikipedia.org/wiki/COBOL
Cobra,http://en.wikipedia.org/wiki/Cobra_(programming_language)
CODE,http://en.wikipedia.org/wiki/CODE_(programming_language)
CoffeeScript,http://en.wikipedia.org/wiki/CoffeeScript
Cola,http://en.wikipedia.org/wiki/Cola_(programming_language)
ColdC,http://en.wikipedia.org/wiki/ColdC
ColdFusion,http://en.wikipedia.org/wiki/ColdFusion
COMAL,http://en.wikipedia.org/wiki/COMAL
Combined Programming Language,http://en.wikipedia.org/wiki/Combined_Programming_Language
COMIT,http://en.wikipedia.org/wiki/COMIT
Common Intermediate Language,http://en.wikipedia.org/wiki/Common_Intermediate_Language
Common Lisp,http://en.wikipedia.org/wiki/Common_Lisp
COMPASS,http://en.wikipedia.org/wiki/COMPASS
Component Pascal,http://en.wikipedia.org/wiki/Component_Pascal
Constraint Handling Rules,http://en.wikipedia.org/wiki/Constraint_Handling_Rules
Converge,http://en.wikipedia.org/wiki/Converge_(programming_language)
Cool,http://en.wikipedia.org/wiki/Cool_(programming_language)
Coq,http://en.wikipedia.org/wiki/Coq
Coral 66,http://en.wikipedia.org/wiki/Coral_66
Corn,http://en.wikipedia.org/wiki/Corn_(emulator)
CorVision,http://en.wikipedia.org/wiki/CorVision
COWSEL,http://en.wikipedia.org/wiki/COWSEL
CPL,http://en.wikipedia.org/wiki/Combined_Programming_Language
csh,http://en.wikipedia.org/wiki/C_shell
CSP,http://en.wikipedia.org/wiki/Communicating_sequential_processes
Csound,http://en.wikipedia.org/wiki/Csound
CUDA,http://en.wikipedia.org/wiki/CUDA
Curl,http://en.wikipedia.org/wiki/Curl_(programming_language)
Curry,http://en.wikipedia.org/wiki/Curry_(programming_language)
Cyclone,http://en.wikipedia.org/wiki/Cyclone_(programming_language)
Cython,http://en.wikipedia.org/wiki/Cython
D,http://en.wikipedia.org/wiki/D_(programming_language)
DASL,http://en.wikipedia.org/wiki/Datapoint%27s_Advanced_Systems_Language
DASL,http://en.wikipedia.org/wiki/Distributed_Application_Specification_Language
Dart,http://en.wikipedia.org/wiki/Dart_(programming_language)
DataFlex,http://en.wikipedia.org/wiki/DataFlex
Datalog,http://en.wikipedia.org/wiki/Datalog
DATATRIEVE,http://en.wikipedia.org/wiki/DATATRIEVE
dBase,http://en.wikipedia.org/wiki/DBase
dc,http://en.wikipedia.org/wiki/Dc_(computer_program)
DCL,http://en.wikipedia.org/wiki/DIGITAL_Command_Language
Deesel,http://en.wikipedia.org/wiki/Deesel
Delphi,http://en.wikipedia.org/wiki/Delphi_(programming_language)
DCL,http://en.wikipedia.org/wiki/DIGITAL_Command_Language
DinkC,http://en.wikipedia.org/wiki/Dink_Smallwood#Modification
DIBOL,http://en.wikipedia.org/wiki/DIBOL
Dog,http://en.wikipedia.org/wiki/Sepandar_Kamvar#.22Dog.22_programming_language
Draco,http://en.wikipedia.org/wiki/Draco_(programming_language)
DRAKON,http://en.wikipedia.org/wiki/DRAKON
Dylan,http://en.wikipedia.org/wiki/Dylan_(programming_language)
